hero_a,hero_b,winrate,games
72,7,0.406977,344
72,76,0.528846,104
72,77,0.444079,304
72,79,0.532468,154
72,8,0.423841,151
72,80,0.47619,231
72,81,0.424779,226
76,1,0.602941,136
76,10,0.481481,270
76,11,0.387755,147
76,12,0.533333,105
76,13,0.482866,321
76,14,0.544554,101
76,15,0.591623,191
76,16,0.481586,353
76,17,0.572816,103
76,18,0.484177,316
76,19,0.563025,238
76,2,0.424242,198
76,20,0.465409,318
76,25,0.5,168
76,27,0.51049,143
76,3,0.497006,167
76,31,0.502924,342
76,35,0.485207,169
76,4,0.493902,164
76,50,0.481707,164
76,52,0.532374,139
76,58,0.409639,83
76,6,0.545455,176
76,60,0.508475,118
76,63,0.533708,178
76,64,0.48318,327
76,65,0.490385,312
76,66,0.443114,167
76,67,0.492537,134
76,69,0.533019,212
76,7,0.495601,341
76,72,0.471154,104
76,77,0.491409,291
76,79,0.568627,204
76,8,0.468966,145
76,80,0.470833,240
76,81,0.511312,221
77,1,0.581121,339
77,10,0.549536,646
77,11,0.466859,347
77,12,0.493377,302
77,13,0.507772,772
77,14,0.572052,229
77,15,0.570499,461
77,16,0.475221,1130
77,17,0.514925,268
77,18,0.506073,741
77,19,0.550077,649
77,2,0.473161,503
77,20,0.439891,732
77,25,0.474619,394
77,27,0.548023,531
77,3,0.523529,510
77,31,0.518519,945
77,35,0.521739,460
77,4,0.491726,423
77,50,0.511538,520
77,52,0.597964,393
77,58,0.477612,201
77,6,0.50096,521
77,60,0.555556,234
77,63,0.585047,535
77,64,0.511163,851
77,65,0.491398,930
77,66,0.492991,428
77,67,0.546479,355
77,69,0.498881,447
77,7,0.496552,870
77,72,0.555921,304
77,76,0.508591,291
77,79,0.590909,506
77,8,0.436426,291
77,80,0.496283,538
77,81,0.475214,585
79,1,0.46875,224
79,10,0.454,500
79,11,0.384365,307
